"No.","Time","Source","Destination","Protocol","Length","Info"
"12237","139.599706","192.168.0.111","45.7.37.1","UDP","143","51341  >  7290 Len=101"
"12239","139.610600","192.168.0.111","45.7.37.1","UDP","171","51341  >  7290 Len=129"
"12242","139.621044","192.168.0.111","45.7.37.1","UDP","143","51341  >  7290 Len=101"
"12244","139.632216","192.168.0.111","45.7.37.1","UDP","159","51341  >  7290 Len=117"
"12247","139.643890","192.168.0.111","45.7.37.1","UDP","199","51341  >  7290 Len=157"
"12249","139.658204","192.168.0.111","45.7.37.1","UDP","220","51341  >  7290 Len=178"
"12252","139.671241","192.168.0.111","45.7.37.1","UDP","193","51341  >  7290 Len=151"
"12255","139.682771","192.168.0.111","45.7.37.1","UDP","233","51341  >  7290 Len=191"
"12257","139.693610","192.168.0.111","45.7.37.1","UDP","215","51341  >  7290 Len=173"
"12259","139.704745","192.168.0.111","45.7.37.1","UDP","244","51341  >  7290 Len=202"
"12262","139.715737","192.168.0.111","45.7.37.1","UDP","215","51341  >  7290 Len=173"
"12264","139.726714","192.168.0.111","45.7.37.1","UDP","244","51341  >  7290 Len=202"
"12267","139.739074","192.168.0.111","45.7.37.1","UDP","227","51341  >  7290 Len=185"
"12269","139.749876","192.168.0.111","45.7.37.1","UDP","244","51341  >  7290 Len=202"
"12271","139.760124","192.168.0.111","45.7.37.1","UDP","215","51341  >  7290 Len=173"
"12273","139.771046","192.168.0.111","45.7.37.1","UDP","215","51341  >  7290 Len=173"
"12276","139.781882","192.168.0.111","45.7.37.1","UDP","244","51341  >  7290 Len=202"
"12278","139.791417","192.168.0.111","45.7.37.1","UDP","227","51341  >  7290 Len=185"
"12281","139.801862","192.168.0.111","45.7.37.1","UDP","227","51341  >  7290 Len=185"
"12283","139.811832","192.168.0.111","45.7.37.1","UDP","255","51341  >  7290 Len=213"
"12286","139.827263","192.168.0.111","45.7.37.1","UDP","215","51341  >  7290 Len=173"
"12288","139.836233","192.168.0.111","45.7.37.1","UDP","255","51341  >  7290 Len=213"
"12290","139.846832","192.168.0.111","45.7.37.1","UDP","215","51341  >  7290 Len=173"
"12293","139.858560","192.168.0.111","45.7.37.1","UDP","215","51341  >  7290 Len=173"
"12296","139.870983","192.168.0.111","45.7.37.1","UDP","255","51341  >  7290 Len=213"
"12298","139.881342","192.168.0.111","45.7.37.1","UDP","215","51341  >  7290 Len=173"
"12300","139.891816","192.168.0.111","45.7.37.1","UDP","255","51341  >  7290 Len=213"
"12303","139.904669","192.168.0.111","45.7.37.1","UDP","215","51341  >  7290 Len=173"
"12306","139.917138","192.168.0.111","45.7.37.1","UDP","244","51341  >  7290 Len=202"
"12307","139.927608","192.168.0.111","45.7.37.1","UDP","227","51341  >  7290 Len=185"
"12310","139.938996","192.168.0.111","45.7.37.1","UDP","255","51341  >  7290 Len=213"
"12313","139.949859","192.168.0.111","45.7.37.1","UDP","215","51341  >  7290 Len=173"
"12316","139.962233","192.168.0.111","45.7.37.1","UDP","215","51341  >  7290 Len=173"
"12319","139.973553","192.168.0.111","45.7.37.1","UDP","244","51341  >  7290 Len=202"
"12321","139.983300","192.168.0.111","45.7.37.1","UDP","244","51341  >  7290 Len=202"
"12323","139.993634","192.168.0.111","45.7.37.1","UDP","215","51341  >  7290 Len=173"
"12326","140.003626","192.168.0.111","45.7.37.1","UDP","215","51341  >  7290 Len=173"
"12328","140.013265","192.168.0.111","45.7.37.1","UDP","255","51341  >  7290 Len=213"
"12330","140.023629","192.168.0.111","45.7.37.1","UDP","227","51341  >  7290 Len=185"
"12332","140.033633","192.168.0.111","45.7.37.1","UDP","227","51341  >  7290 Len=185"
"12336","140.042771","192.168.0.111","45.7.37.1","UDP","227","51341  >  7290 Len=185"
"12338","140.052559","192.168.0.111","45.7.37.1","UDP","227","51341  >  7290 Len=185"
"12340","140.061835","192.168.0.111","45.7.37.1","UDP","255","51341  >  7290 Len=213"
"12342","140.072344","192.168.0.111","45.7.37.1","UDP","227","51341  >  7290 Len=185"
"12345","140.084288","192.168.0.111","45.7.37.1","UDP","227","51341  >  7290 Len=185"
"12347","140.094503","192.168.0.111","45.7.37.1","UDP","255","51341  >  7290 Len=213"
"12350","140.105642","192.168.0.111","45.7.37.1","UDP","227","51341  >  7290 Len=185"
"12352","140.116195","192.168.0.111","45.7.37.1","UDP","255","51341  >  7290 Len=213"
"12354","140.127152","192.168.0.111","45.7.37.1","UDP","215","51341  >  7290 Len=173"
"12357","140.137307","192.168.0.111","45.7.37.1","UDP","215","51341  >  7290 Len=173"
"12359","140.147315","192.168.0.111","45.7.37.1","UDP","237","51341  >  7290 Len=195"
"12361","140.156435","192.168.0.111","45.7.37.1","UDP","255","51341  >  7290 Len=213"
"12363","140.166379","192.168.0.111","45.7.37.1","UDP","227","51341  >  7290 Len=185"
"12366","140.177833","192.168.0.111","45.7.37.1","UDP","227","51341  >  7290 Len=185"
"12368","140.188915","192.168.0.111","45.7.37.1","UDP","255","51341  >  7290 Len=213"
"12371","140.198998","192.168.0.111","45.7.37.1","UDP","238","51341  >  7290 Len=196"
"12373","140.214198","192.168.0.111","45.7.37.1","UDP","215","51341  >  7290 Len=173"
"12376","140.226999","192.168.0.111","45.7.37.1","UDP","244","51341  >  7290 Len=202"
"12379","140.238901","192.168.0.111","45.7.37.1","UDP","244","51341  >  7290 Len=202"
"12381","140.249343","192.168.0.111","45.7.37.1","UDP","215","51341  >  7290 Len=173"
"12383","140.260205","192.168.0.111","45.7.37.1","UDP","233","51341  >  7290 Len=191"
"12386","140.272334","192.168.0.111","45.7.37.1","UDP","215","51341  >  7290 Len=173"
"12388","140.284839","192.168.0.111","45.7.37.1","UDP","244","51341  >  7290 Len=202"
"12391","140.296909","192.168.0.111","45.7.37.1","UDP","244","51341  >  7290 Len=202"
"12394","140.308291","192.168.0.111","45.7.37.1","UDP","215","51341  >  7290 Len=173"
"12396","140.319677","192.168.0.111","45.7.37.1","UDP","244","51341  >  7290 Len=202"
"12398","140.329628","192.168.0.111","45.7.37.1","UDP","215","51341  >  7290 Len=173"
"12400","140.340190","192.168.0.111","45.7.37.1","UDP","215","51341  >  7290 Len=173"
"12403","140.350365","192.168.0.111","45.7.37.1","UDP","215","51341  >  7290 Len=173"
"12405","140.360522","192.168.0.111","45.7.37.1","UDP","255","51341  >  7290 Len=213"
"12408","140.370928","192.168.0.111","45.7.37.1","UDP","215","51341  >  7290 Len=173"
"12410","140.381461","192.168.0.111","45.7.37.1","UDP","227","51341  >  7290 Len=185"
"12412","140.392109","192.168.0.111","45.7.37.1","UDP","255","51341  >  7290 Len=213"
"12414","140.401913","192.168.0.111","45.7.37.1","UDP","227","51341  >  7290 Len=185"
"12417","140.412747","192.168.0.111","45.7.37.1","UDP","227","51341  >  7290 Len=185"
"12419","140.422134","192.168.0.111","63.251.140.21","UDP","74","18334  >  27024 Len=32"
"12420","140.423938","192.168.0.111","45.7.37.1","UDP","244","51341  >  7290 Len=202"
"12423","140.433576","192.168.0.111","45.7.37.1","UDP","224","51341  >  7290 Len=182"
"12425","140.443771","192.168.0.111","45.7.37.1","UDP","227","51341  >  7290 Len=185"
"12427","140.453809","192.168.0.111","45.7.37.1","UDP","255","51341  >  7290 Len=213"
"12429","140.463437","192.168.0.111","45.7.37.1","UDP","227","51341  >  7290 Len=185"
"12431","140.473752","192.168.0.111","45.7.37.1","UDP","227","51341  >  7290 Len=185"
"12434","140.484217","192.168.0.111","45.7.37.1","UDP","255","51341  >  7290 Len=213"
"12436","140.493864","192.168.0.111","45.7.37.1","UDP","227","51341  >  7290 Len=185"
"12452","140.604641","192.168.0.111","45.7.37.1","UDP","159","51341  >  7290 Len=117"
"12455","140.624348","192.168.0.111","45.7.37.1","UDP","541","51341  >  7290 Len=499"
"12457","140.635058","192.168.0.111","45.7.37.1","UDP","239","51341  >  7290 Len=197"
"12464","140.675519","192.168.0.111","45.7.37.1","UDP","306","51341  >  7290 Len=264"
"12466","140.684676","192.168.0.111","45.7.37.1","UDP","193","51341  >  7290 Len=151"
"12468","140.695084","192.168.0.111","45.7.37.1","UDP","221","51341  >  7290 Len=179"
"12470","140.705345","192.168.0.111","45.7.37.1","UDP","193","51341  >  7290 Len=151"
"12473","140.715003","192.168.0.111","45.7.37.1","UDP","204","51341  >  7290 Len=162"
"12475","140.726379","192.168.0.111","45.7.37.1","UDP","244","51341  >  7290 Len=202"
"12477","140.735992","192.168.0.111","45.7.37.1","UDP","215","51341  >  7290 Len=173"
"12479","140.745254","192.168.0.111","45.7.37.1","UDP","227","51341  >  7290 Len=185"
"12482","140.755118","192.168.0.111","45.7.37.1","UDP","227","51341  >  7290 Len=185"
"12484","140.766064","192.168.0.111","45.7.37.1","UDP","255","51341  >  7290 Len=213"
"12487","140.777145","192.168.0.111","45.7.37.1","UDP","227","51341  >  7290 Len=185"
"12489","140.788105","192.168.0.111","45.7.37.1","UDP","255","51341  >  7290 Len=213"
"12491","140.797226","192.168.0.111","45.7.37.1","UDP","215","51341  >  7290 Len=173"
"12493","140.806539","192.168.0.111","45.7.37.1","UDP","215","51341  >  7290 Len=173"
"12496","140.816167","192.168.0.111","45.7.37.1","UDP","227","51341  >  7290 Len=185"
"12498","140.825026","192.168.0.111","45.7.37.1","UDP","255","51341  >  7290 Len=213"
"12500","140.835302","192.168.0.111","45.7.37.1","UDP","227","51341  >  7290 Len=185"
"12502","140.845286","192.168.0.111","45.7.37.1","UDP","227","51341  >  7290 Len=185"
"12504","140.855715","192.168.0.111","45.7.37.1","UDP","227","51341  >  7290 Len=185"
"12506","140.864838","192.168.0.111","45.7.37.1","UDP","255","51341  >  7290 Len=213"
"12509","140.875397","192.168.0.111","45.7.37.1","UDP","227","51341  >  7290 Len=185"
"12511","140.885320","192.168.0.111","45.7.37.1","UDP","215","51341  >  7290 Len=173"
"12514","140.895448","192.168.0.111","45.7.37.1","UDP","227","51341  >  7290 Len=185"
"12516","140.905955","192.168.0.111","45.7.37.1","UDP","255","51341  >  7290 Len=213"
"12518","140.915220","192.168.0.111","45.7.37.1","UDP","227","51341  >  7290 Len=185"
"12521","140.925960","192.168.0.111","45.7.37.1","UDP","227","51341  >  7290 Len=185"
"12523","140.937544","192.168.0.111","45.7.37.1","UDP","255","51341  >  7290 Len=213"
"12526","140.948538","192.168.0.111","45.7.37.1","UDP","227","51341  >  7290 Len=185"
"12528","140.960398","192.168.0.111","45.7.37.1","UDP","255","51341  >  7290 Len=213"
"12530","140.972233","192.168.0.111","45.7.37.1","UDP","215","51341  >  7290 Len=173"
"12533","140.983683","192.168.0.111","45.7.37.1","UDP","255","51341  >  7290 Len=213"
"12536","140.995507","192.168.0.111","45.7.37.1","UDP","215","51341  >  7290 Len=173"
"12538","141.007074","192.168.0.111","45.7.37.1","UDP","244","51341  >  7290 Len=202"
"12540","141.017522","192.168.0.111","45.7.37.1","UDP","215","51341  >  7290 Len=173"
"12542","141.028227","192.168.0.111","45.7.37.1","UDP","244","51341  >  7290 Len=202"
"12545","141.039193","192.168.0.111","45.7.37.1","UDP","227","51341  >  7290 Len=185"
"12547","141.049616","192.168.0.111","45.7.37.1","UDP","215","51341  >  7290 Len=173"
"12550","141.059290","192.168.0.111","45.7.37.1","UDP","255","51341  >  7290 Len=213"
"12552","141.071189","192.168.0.111","45.7.37.1","UDP","227","51341  >  7290 Len=185"
"12554","141.083727","192.168.0.111","45.7.37.1","UDP","244","51341  >  7290 Len=202"
"12557","141.094445","192.168.0.111","45.7.37.1","UDP","227","51341  >  7290 Len=185"
"12559","141.104176","192.168.0.111","45.7.37.1","UDP","244","51341  >  7290 Len=202"
"12562","141.113816","192.168.0.111","45.7.37.1","UDP","215","51341  >  7290 Len=173"
"12563","141.124067","192.168.0.111","45.7.37.1","UDP","227","51341  >  7290 Len=185"
"12566","141.134479","192.168.0.111","45.7.37.1","UDP","227","51341  >  7290 Len=185"
"12568","141.145617","192.168.0.111","45.7.37.1","UDP","265","51341  >  7290 Len=223"
"12570","141.155399","192.168.0.111","45.7.37.1","UDP","238","51341  >  7290 Len=196"
"12573","141.164834","192.168.0.111","45.7.37.1","UDP","227","51341  >  7290 Len=185"
"12574","141.176077","192.168.0.111","45.7.37.1","UDP","255","51341  >  7290 Len=213"
"12578","141.188188","192.168.0.111","45.7.37.1","UDP","227","51341  >  7290 Len=185"
"12579","141.197427","192.168.0.111","45.7.37.1","UDP","255","51341  >  7290 Len=213"
"12580","141.208041","192.168.0.111","45.7.37.1","UDP","238","51341  >  7290 Len=196"
"12582","141.217961","192.168.0.111","45.7.37.1","UDP","249","51341  >  7290 Len=207"
"12584","141.227371","192.168.0.111","45.7.37.1","UDP","260","51341  >  7290 Len=218"
"12585","141.237469","192.168.0.111","45.7.37.1","UDP","300","51341  >  7290 Len=258"
"12586","141.246070","192.168.0.111","45.7.37.1","UDP","283","51341  >  7290 Len=241"
"12591","141.259482","192.168.0.111","45.7.37.1","UDP","301","51341  >  7290 Len=259"
"12594","141.271704","192.168.0.111","45.7.37.1","UDP","340","51341  >  7290 Len=298"
"12599","141.281735","192.168.0.111","45.7.37.1","UDP","323","51341  >  7290 Len=281"
"12601","141.292842","192.168.0.111","45.7.37.1","UDP","363","51341  >  7290 Len=321"
"12603","141.304159","192.168.0.111","45.7.37.1","UDP","301","51341  >  7290 Len=259"
"12605","141.315950","192.168.0.111","45.7.37.1","UDP","340","51341  >  7290 Len=298"
"12607","141.326470","192.168.0.111","45.7.37.1","UDP","323","51341  >  7290 Len=281"
"12609","141.339086","192.168.0.111","45.7.37.1","UDP","334","51341  >  7290 Len=292"
"12612","141.349994","192.168.0.111","45.7.37.1","UDP","295","51341  >  7290 Len=253"
"12613","141.360584","192.168.0.111","45.7.37.1","UDP","278","51341  >  7290 Len=236"
"12617","141.372836","192.168.0.111","45.7.37.1","UDP","318","51341  >  7290 Len=276"
"12618","141.384107","192.168.0.111","45.7.37.1","UDP","301","51341  >  7290 Len=259"
"12619","141.393840","192.168.0.111","45.7.37.1","UDP","340","51341  >  7290 Len=298"
"12621","141.404585","192.168.0.111","45.7.37.1","UDP","323","51341  >  7290 Len=281"
"12625","141.414852","192.168.0.111","45.7.37.1","UDP","334","51341  >  7290 Len=292"
"12626","141.420996","192.168.0.111","63.251.140.21","UDP","74","18334  >  27024 Len=32"
"12627","141.426282","192.168.0.111","45.7.37.1","UDP","374","51341  >  7290 Len=332"
"12628","141.435792","192.168.0.111","45.7.37.1","UDP","357","51341  >  7290 Len=315"
"12630","141.445349","192.168.0.111","45.7.37.1","UDP","357","51341  >  7290 Len=315"
"12632","141.454148","192.168.0.111","45.7.37.1","UDP","357","51341  >  7290 Len=315"
"12633","141.463012","192.168.0.111","45.7.37.1","UDP","385","51341  >  7290 Len=343"
"12636","141.472930","192.168.0.111","45.7.37.1","UDP","357","51341  >  7290 Len=315"
"12638","141.484307","192.168.0.111","45.7.37.1","UDP","368","51341  >  7290 Len=326"
"12643","141.495488","192.168.0.111","45.7.37.1","UDP","408","51341  >  7290 Len=366"
"12645","141.506466","192.168.0.111","45.7.37.1","UDP","391","51341  >  7290 Len=349"
"12649","141.518134","192.168.0.111","45.7.37.1","UDP","402","51341  >  7290 Len=360"
"12652","141.529036","192.168.0.111","45.7.37.1","UDP","442","51341  >  7290 Len=400"
"12654","141.539744","192.168.0.111","45.7.37.1","UDP","424","51341  >  7290 Len=382"
"12657","141.551248","192.168.0.111","45.7.37.1","UDP","464","51341  >  7290 Len=422"
"12658","141.562812","192.168.0.111","45.7.37.1","UDP","447","51341  >  7290 Len=405"
"12660","141.573903","192.168.0.111","45.7.37.1","UDP","475","51341  >  7290 Len=433"
"12663","141.584321","192.168.0.111","45.7.37.1","UDP","447","51341  >  7290 Len=405"
"12665","141.594918","192.168.0.111","45.7.37.1","UDP","447","51341  >  7290 Len=405"
"12667","141.604684","192.168.0.111","45.7.37.1","UDP","475","51341  >  7290 Len=433"
"12668","141.604766","192.168.0.111","13.73.252.131","TLSv1.2","123","Application Data"
"12671","141.616614","192.168.0.111","45.7.37.1","UDP","447","51341  >  7290 Len=405"
"12673","141.627229","192.168.0.111","45.7.37.1","UDP","487","51341  >  7290 Len=445"
"12677","141.638967","192.168.0.111","45.7.37.1","UDP","260","51341  >  7290 Len=218"
"12678","141.648792","192.168.0.111","45.7.37.1","UDP","282","51341  >  7290 Len=240"
"12681","141.659670","192.168.0.111","45.7.37.1","UDP","283","51341  >  7290 Len=241"
"12682","141.671087","192.168.0.111","45.7.37.1","UDP","323","51341  >  7290 Len=281"
"12683","141.681629","192.168.0.111","45.7.37.1","UDP","305","51341  >  7290 Len=263"
"12684","141.691841","192.168.0.111","45.7.37.1","UDP","345","51341  >  7290 Len=303"
"12687","141.705950","192.168.0.111","45.7.37.1","UDP","328","51341  >  7290 Len=286"
"12689","141.716521","192.168.0.111","45.7.37.1","UDP","368","51341  >  7290 Len=326"
"12693","141.726316","192.168.0.111","45.7.37.1","UDP","350","51341  >  7290 Len=308"
"12696","141.735912","192.168.0.111","45.7.37.1","UDP","362","51341  >  7290 Len=320"
"12701","141.745545","192.168.0.111","45.7.37.1","UDP","390","51341  >  7290 Len=348"
"12703","141.754319","192.168.0.111","45.7.37.1","UDP","362","51341  >  7290 Len=320"
"12706","141.764034","192.168.0.111","45.7.37.1","UDP","362","51341  >  7290 Len=320"
"12707","141.773383","192.168.0.111","45.7.37.1","UDP","260","51341  >  7290 Len=218"
"12709","141.783310","192.168.0.111","45.7.37.1","UDP","289","51341  >  7290 Len=247"
"12712","141.792523","192.168.0.111","45.7.37.1","UDP","260","51341  >  7290 Len=218"
"12714","141.801713","192.168.0.111","45.7.37.1","UDP","260","51341  >  7290 Len=218"
"12715","141.810864","192.168.0.111","45.7.37.1","UDP","260","51341  >  7290 Len=218"
"12718","141.820007","192.168.0.111","45.7.37.1","UDP","260","51341  >  7290 Len=218"
"12721","141.828867","192.168.0.111","45.7.37.1","UDP","260","51341  >  7290 Len=218"
"12725","141.838216","192.168.0.111","45.7.37.1","UDP","289","51341  >  7290 Len=247"
"12726","141.839650","192.168.0.111","13.73.252.131","TCP","54","49851  >  8883 [ACK] Seq=139 Ack=139 Win=516 Len=0"
"12727","141.847334","192.168.0.111","45.7.37.1","UDP","260","51341  >  7290 Len=218"
"12730","141.856859","192.168.0.111","45.7.37.1","UDP","260","51341  >  7290 Len=218"
"12732","141.865543","192.168.0.111","45.7.37.1","UDP","260","51341  >  7290 Len=218"
"12734","141.875036","192.168.0.111","45.7.37.1","UDP","260","51341  >  7290 Len=218"
"12736","141.883947","192.168.0.111","45.7.37.1","UDP","289","51341  >  7290 Len=247"
"12740","141.898063","192.168.0.111","45.7.37.1","UDP","143","51341  >  7290 Len=101"
"12743","141.905588","192.168.0.111","45.7.37.1","UDP","143","51341  >  7290 Len=101"
"12745","141.914827","192.168.0.111","45.7.37.1","UDP","143","51341  >  7290 Len=101"
"12747","141.923068","192.168.0.111","45.7.37.1","UDP","171","51341  >  7290 Len=129"
"12749","141.932145","192.168.0.111","45.7.37.1","UDP","143","51341  >  7290 Len=101"
"12751","141.941799","192.168.0.111","45.7.37.1","UDP","143","51341  >  7290 Len=101"
"12753","141.951512","192.168.0.111","45.7.37.1","UDP","143","51341  >  7290 Len=101"
"12755","141.960212","192.168.0.111","45.7.37.1","UDP","143","51341  >  7290 Len=101"
"12757","141.971241","192.168.0.111","45.7.37.1","UDP","159","51341  >  7290 Len=117"
"12761","141.982279","192.168.0.111","45.7.37.1","UDP","199","51341  >  7290 Len=157"
"12763","141.992818","192.168.0.111","45.7.37.1","UDP","182","51341  >  7290 Len=140"
"12765","142.003874","192.168.0.111","45.7.37.1","UDP","221","51341  >  7290 Len=179"
"12767","142.014342","192.168.0.111","45.7.37.1","UDP","204","51341  >  7290 Len=162"
"12770","142.024030","192.168.0.111","45.7.37.1","UDP","215","51341  >  7290 Len=173"
"12771","142.025179","192.168.0.111","8.241.199.252","TCP","55","[TCP Keep-Alive] 50250  >  443 [ACK] Seq=0 Ack=26 Win=513 Len=1"
"12773","142.034017","192.168.0.111","45.7.37.1","UDP","244","51341  >  7290 Len=202"
"12776","142.047090","192.168.0.111","45.7.37.1","UDP","231","51341  >  7290 Len=189"
"12778","142.057612","192.168.0.111","45.7.37.1","UDP","248","51341  >  7290 Len=206"
"12780","142.068436","192.168.0.111","45.7.37.1","UDP","231","51341  >  7290 Len=189"
"12784","142.079112","192.168.0.111","45.7.37.1","UDP","242","51341  >  7290 Len=200"
"12786","142.089662","192.168.0.111","45.7.37.1","UDP","260","51341  >  7290 Len=218"
"12789","142.099089","192.168.0.111","45.7.37.1","UDP","220","51341  >  7290 Len=178"
"12791","142.108048","192.168.0.111","45.7.37.1","UDP","220","51341  >  7290 Len=178"
"12793","142.117693","192.168.0.111","45.7.37.1","UDP","215","51341  >  7290 Len=173"
"12795","142.127014","192.168.0.111","45.7.37.1","UDP","233","51341  >  7290 Len=191"
"12798","142.137331","192.168.0.111","45.7.37.1","UDP","215","51341  >  7290 Len=173"
"12800","142.147064","192.168.0.111","45.7.37.1","UDP","203","51341  >  7290 Len=161"
"12802","142.158381","192.168.0.111","45.7.37.1","UDP","193","51341  >  7290 Len=151"
"12804","142.171150","192.168.0.111","45.7.37.1","UDP","223","51341  >  7290 Len=181"
"12807","142.183372","192.168.0.111","45.7.37.1","UDP","223","51341  >  7290 Len=181"
"12811","142.197449","192.168.0.111","45.7.37.1","UDP","195","51341  >  7290 Len=153"
"12814","142.208217","192.168.0.111","45.7.37.1","UDP","223","51341  >  7290 Len=181"
"12816","142.218454","192.168.0.111","45.7.37.1","UDP","195","51341  >  7290 Len=153"
"12819","142.231020","192.168.0.111","45.7.37.1","UDP","223","51341  >  7290 Len=181"
"12821","142.242484","192.168.0.111","45.7.37.1","UDP","193","51341  >  7290 Len=151"
"12823","142.253090","192.168.0.111","45.7.37.1","UDP","193","51341  >  7290 Len=151"
"12826","142.264866","192.168.0.111","45.7.37.1","UDP","233","51341  >  7290 Len=191"
"12829","142.279262","192.168.0.111","45.7.37.1","UDP","204","51341  >  7290 Len=162"
"12832","142.292531","192.168.0.111","45.7.37.1","UDP","244","51341  >  7290 Len=202"
"12834","142.303427","192.168.0.111","45.7.37.1","UDP","244","51341  >  7290 Len=202"
"12837","142.317241","192.168.0.111","45.7.37.1","UDP","233","51341  >  7290 Len=191"
"12839","142.328276","192.168.0.111","45.7.37.1","UDP","215","51341  >  7290 Len=173"
"12842","142.341139","192.168.0.111","45.7.37.1","UDP","244","51341  >  7290 Len=202"
"12844","142.353443","192.168.0.111","45.7.37.1","UDP","215","51341  >  7290 Len=173"
"12847","142.365107","192.168.0.111","45.7.37.1","UDP","244","51341  >  7290 Len=202"
"12849","142.378536","192.168.0.111","45.7.37.1","UDP","233","51341  >  7290 Len=191"
"12852","142.391055","192.168.0.111","45.7.37.1","UDP","215","51341  >  7290 Len=173"
"12855","142.409428","192.168.0.111","45.7.37.1","UDP","233","51341  >  7290 Len=191"
"12858","142.422038","192.168.0.111","45.7.37.1","UDP","233","51341  >  7290 Len=191"
"12860","142.430483","192.168.0.111","63.251.140.21","UDP","74","18334  >  27024 Len=32"
"12861","142.430609","192.168.0.111","63.251.140.21","UDP","70","18334  >  27024 Len=28"
"12862","142.432938","192.168.0.111","45.7.37.1","UDP","244","51341  >  7290 Len=202"
"12864","142.443675","192.168.0.111","45.7.37.1","UDP","215","51341  >  7290 Len=173"
"12867","142.454604","192.168.0.111","45.7.37.1","UDP","215","51341  >  7290 Len=173"
"12870","142.466621","192.168.0.111","45.7.37.1","UDP","244","51341  >  7290 Len=202"
"12872","142.477506","192.168.0.111","45.7.37.1","UDP","215","51341  >  7290 Len=173"
"12875","142.488289","192.168.0.111","45.7.37.1","UDP","244","51341  >  7290 Len=202"
"12877","142.499378","192.168.0.111","45.7.37.1","UDP","215","51341  >  7290 Len=173"
"12879","142.509047","192.168.0.111","45.7.37.1","UDP","215","51341  >  7290 Len=173"
"12882","142.520389","192.168.0.111","45.7.37.1","UDP","244","51341  >  7290 Len=202"
"12884","142.529875","192.168.0.111","45.7.37.1","UDP","227","51341  >  7290 Len=185"
"12886","142.539960","192.168.0.111","45.7.37.1","UDP","227","51341  >  7290 Len=185"
"12888","142.549271","192.168.0.111","45.7.37.1","UDP","255","51341  >  7290 Len=213"
"12891","142.559539","192.168.0.111","45.7.37.1","UDP","227","51341  >  7290 Len=185"
"12893","142.571285","192.168.0.111","45.7.37.1","UDP","227","51341  >  7290 Len=185"
"12896","142.581685","192.168.0.111","45.7.37.1","UDP","244","51341  >  7290 Len=202"
"12899","142.592280","192.168.0.111","45.7.37.1","UDP","227","51341  >  7290 Len=185"
"12901","142.602130","192.168.0.111","45.7.37.1","UDP","227","51341  >  7290 Len=185"
"12903","142.611597","192.168.0.111","45.7.37.1","UDP","255","51341  >  7290 Len=213"
"12906","142.621829","192.168.0.111","45.7.37.1","UDP","227","51341  >  7290 Len=185"
"12908","142.632316","192.168.0.111","45.7.37.1","UDP","227","51341  >  7290 Len=185"
"12910","142.642074","192.168.0.111","45.7.37.1","UDP","227","51341  >  7290 Len=185"
"12912","142.652260","192.168.0.111","45.7.37.1","UDP","265","51341  >  7290 Len=223"
"12914","142.660245","192.168.0.111","45.7.37.1","UDP","215","51341  >  7290 Len=173"
"12917","142.670043","192.168.0.111","45.7.37.1","UDP","204","51341  >  7290 Len=162"
"12919","142.679059","192.168.0.111","45.7.37.1","UDP","193","51341  >  7290 Len=151"
"12921","142.688116","192.168.0.111","45.7.37.1","UDP","182","51341  >  7290 Len=140"
"12923","142.698475","192.168.0.111","45.7.37.1","UDP","199","51341  >  7290 Len=157"
"12926","142.707559","192.168.0.111","45.7.37.1","UDP","159","51341  >  7290 Len=117"
"12927","142.715378","192.168.0.111","45.7.37.1","UDP","143","51341  >  7290 Len=101"
"12929","142.723049","192.168.0.111","45.7.37.1","UDP","143","51341  >  7290 Len=101"
"12932","142.731690","192.168.0.111","45.7.37.1","UDP","143","51341  >  7290 Len=101"
"12933","142.739829","192.168.0.111","45.7.37.1","UDP","143","51341  >  7290 Len=101"
"12935","142.747716","192.168.0.111","45.7.37.1","UDP","143","51341  >  7290 Len=101"
"12937","142.755819","192.168.0.111","45.7.37.1","UDP","143","51341  >  7290 Len=101"
"12938","142.765317","192.168.0.111","45.7.37.1","UDP","143","51341  >  7290 Len=101"
"12939","142.774919","192.168.0.111","45.7.37.1","UDP","171","51341  >  7290 Len=129"
"12940","142.783574","192.168.0.111","45.7.37.1","UDP","143","51341  >  7290 Len=101"
"12942","142.792940","192.168.0.111","45.7.37.1","UDP","143","51341  >  7290 Len=101"
"12943","142.802068","192.168.0.111","45.7.37.1","UDP","143","51341  >  7290 Len=101"
"12945","142.811940","192.168.0.111","45.7.37.1","UDP","143","51341  >  7290 Len=101"
"12947","142.822189","192.168.0.111","45.7.37.1","UDP","143","51341  >  7290 Len=101"
"12949","142.833304","192.168.0.111","45.7.37.1","UDP","188","51341  >  7290 Len=146"
"12950","142.843881","192.168.0.111","45.7.37.1","UDP","170","51341  >  7290 Len=128"
"12952","142.854384","192.168.0.111","45.7.37.1","UDP","210","51341  >  7290 Len=168"
"12953","142.864229","192.168.0.111","45.7.37.1","UDP","193","51341  >  7290 Len=151"
"12954","142.875969","192.168.0.111","45.7.37.1","UDP","204","51341  >  7290 Len=162"
"12957","142.886726","192.168.0.111","45.7.37.1","UDP","244","51341  >  7290 Len=202"
"12958","142.896993","192.168.0.111","45.7.37.1","UDP","215","51341  >  7290 Len=173"
"12960","142.906768","192.168.0.111","45.7.37.1","UDP","227","51341  >  7290 Len=185"
"12963","142.918617","192.168.0.111","45.7.37.1","UDP","244","51341  >  7290 Len=202"
"12964","142.929265","192.168.0.111","45.7.37.1","UDP","215","51341  >  7290 Len=173"
